title,authors,average_rating,language_code,num_pages,ratings_count,publication_date
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,4/26/2005
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,9/12/2005
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,11/1/2005
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4/30/2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,3/23/2005
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,1/17/1996
A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9/14/2004
Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,12/3/2002
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,9/14/2004
In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,5/15/2001
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,6/28/2000
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,8/28/1990
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,3/28/1993
Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,5/28/1997
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,9/28/1991
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,9/25/2012
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216,1618,10/1/2002
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,9/5/2003
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,11/5/2003
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,11/15/2004
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,7/28/2005
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,4/1/2000
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48,36,8/28/1994
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,1/23/2001
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,6/10/2003
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,11/1/2005
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,11/1/2005
Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,8/17/2006
The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,4/14/2003
The Changeling,Kate Horsley,3.55,eng,339,301,4/12/2005
The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,8/28/1990
The Known World,Edward P. Jones,3.83,eng,576,22,6/15/2004
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,5/15/2006
Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,12/14/2005
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,6/1/1982
Uncommon Carriers,John McPhee,3.95,en-US,248,1630,5/16/2006
Heirs of General Practice,John McPhee,4.17,eng,128,268,4/1/1986
The Control of Nature,John McPhee,4.24,en-US,288,3498,9/1/1990
Annals of the Former World,John McPhee,4.34,eng,720,3115,1/6/1999
Coming Into the Country,John McPhee,4.22,eng,448,5704,4/1/1991
La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,4/1/1994
Giving Good Weight,John McPhee,4.23,eng,288,542,4/1/1994
Rising from the Plains,John McPhee,4.23,eng,208,1341,11/1/1987
The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,3/1/2002
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,7/2/1991
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,3/29/2006
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,3/14/2006
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,9/1/2003
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,1/28/1997
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,11/15/2002
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,11/15/2004
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,4/28/2003
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,10/16/2003
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,5/10/2004
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,8/19/2004
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,6/15/1987
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,7/1/1987
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,7/15/1987
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,7/1/2004
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,4/16/1984
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,8/29/2006
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,8/15/1987
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,6/12/2002
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,9/13/2005
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,11/1/2004
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,5/19/2006
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,2/7/2000
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,5/3/2005
eBay for Dummies,Marsha Collier,3.5,eng,386,111,10/30/2006
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,1/24/2006
Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,9/17/2004
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,6/6/2006
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,5/31/2004
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,4/25/2005
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,7/29/2006
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5/3/2005
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,5/3/2005
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1/1/2007
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,8/26/2004
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,11/26/1965
Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,1/28/2006
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,11/26/1987
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,7/3/1990
The Untouchable,John Banville,3.95,eng,367,2163,6/30/1998
The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,2/1/1996
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,9/27/2005
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,10,1/28/1995
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,12/20/2000
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,9/22/2003
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48,17,9/28/1991
Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,1035,10/1/1994
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,eng,250,36,5/1/2002
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,1/1/2002
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,6/1/1994
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,1/3/2006
