name,rating,Duration,Year,Genre,Gross_income
Sing 2,7.4,110,2021,Animation Adventure Comedy,162790990
The Northman,7.2,137,2022,Action Adventure Drama,162790990
Fantastic Beasts: The Secrets of Dumbledore,6.2,142,2022,Action Adventure Fantasy,162790990
No Time to Die,7.3,163,2021,Action Adventure Thriller,160869031
Interceptor,4.5,99,2022,Action Adventure Drama,160869031
Jurassic Park,8.2,127,1993,Action Adventure Sci-Fi,402453882
Spider-Man: No Way Home,8.3,148,2021,Action Adventure Fantasy,804747988
Morbius,5.1,104,2022,Action Adventure Horror,804747988
The Lost City,6.2,112,2022,Action Adventure Comedy,804747988
Minions: The Rise of Gru,7.3,87,2022,Animation Adventure Comedy,804747988
Uncharted,6.4,116,2022,Action Adventure,804747988
Jurassic World: Fallen Kingdom,6.1,128,2018,Action Adventure Sci-Fi,417719760
Ghostbusters: Afterlife,7.1,124,2021,Adventure Comedy Fantasy,417719760
Jurassic World,6.9,124,2015,Action Adventure Sci-Fi,652270625
The Bad Guys,6.9,100,2022,Animation Adventure Comedy,652270625
Dune,8.0,155,2021,Action Adventure Drama,108327830
Star Wars,8.6,121,1977,Action Adventure Fantasy,322740140
Chip 'n Dale: Rescue Rangers,7.0,97,2022,Animation Adventure Comedy,322740140
Eternals,6.3,156,2021,Action Adventure Fantasy,164870234
Star Wars: Episode I - The Phantom Menace,6.5,136,1999,Action Adventure Fantasy,474544677
Avengers: Endgame,8.4,181,2019,Action Adventure Drama,858373000
Doctor Strange,7.5,115,2016,Action Adventure Fantasy,232641920
Star Wars: Episode III - Revenge of the Sith,7.6,140,2005,Action Adventure Fantasy,380262555
Free Guy,7.1,115,2021,Action Adventure Comedy,121626598
Mission: Impossible,7.1,110,1996,Action Adventure Thriller,180981856
Interstellar,8.6,169,2014,Adventure Drama Sci-Fi,188020017
Jaws,8.1,124,1975,Adventure Thriller,260000000
Harry Potter and the Sorcerer's Stone,7.6,152,2001,Adventure Family Fantasy,317575550
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,2003,Action Adventure Fantasy,305413918
Inception,8.8,148,2010,Action Adventure Sci-Fi,292576195
The Lost World: Jurassic Park,6.5,129,1997,Action Adventure Sci-Fi,229086679
The Adam Project,6.7,106,2022,Action Adventure Comedy,229086679
Back to the Future,8.5,116,1985,Adventure Comedy Sci-Fi,210609762
Star Wars: The Rise Of Skywalker,6.5,141,2019,Action Adventure Fantasy,515202542
Turning Red,7.0,100,2022,Animation Adventure Comedy,515202542
Fantastic Beasts: The Crimes of Grindelwald,6.5,134,2018,Adventure Family Fantasy,159555901
Forbidden Planet,7.5,98,1956,Adventure Sci-Fi,3000000
Moonfall,5.2,130,2022,Action Adventure Sci-Fi,3000000
Avatar,7.8,162,2009,Action Adventure Fantasy,760507625
The Goonies,7.7,114,1985,Adventure Comedy Family,61503218
Thor: Ragnarok,7.9,130,2017,Action Adventure Comedy,315058289
Star Wars: Episode II - Attack of the Clones,6.6,142,2002,Action Adventure Fantasy,310675583
The Suicide Squad,7.2,132,2021,Action Adventure Comedy,310675583
Idiocracy,6.5,84,2006,Adventure Comedy Sci-Fi,438653
Captain Marvel,6.8,123,2019,Action Adventure Sci-Fi,426829839
Toy Story,8.3,81,1995,Animation Adventure Comedy,191796233
Jurassic Park III,5.9,92,2001,Action Adventure Sci-Fi,181171875
Rogue One: A Star Wars Story,7.8,133,2016,Action Adventure Sci-Fi,532177324
Inglourious Basterds,8.3,153,2009,Adventure Drama War,120540719
The Grand Budapest Hotel,8.1,99,2014,Adventure Comedy Crime,59100318
The Lord of the Rings: The Fellowship of the Ring,8.8,178,2001,Action Adventure Drama,315544750
Star Wars: Episode VI - Return of the Jedi,8.3,131,1983,Action Adventure Fantasy,309125409
Suicide Squad,5.9,123,2016,Action Adventure Fantasy,325100054
Shang-Chi and the Legend of the Ten Rings,7.4,132,2021,Action Adventure Fantasy,224543292
Spider-Man,7.4,121,2002,Action Adventure Sci-Fi,403706375
Avengers: Infinity War,8.4,149,2018,Action Adventure Sci-Fi,678815482
Toy Story 4,7.7,100,2019,Animation Adventure Comedy,434038008
Jumanji: The Next Level,6.7,123,2019,Action Adventure Comedy,316831246
Venom: Let There Be Carnage,5.9,97,2021,Action Adventure Sci-Fi,213550366
Tenet,7.3,150,2020,Action Adventure Sci-Fi,58456624
Fantastic Beasts and Where to Find Them,7.2,132,2016,Adventure Family Fantasy,234037575
Mad Max: Fury Road,8.1,120,2015,Action Adventure Sci-Fi,154058340
Mission: Impossible - Fallout,7.7,147,2018,Action Adventure Thriller,220159104
Guardians of the Galaxy,8.0,121,2014,Action Adventure Comedy,333176600
The Bob's Burgers Movie,7.4,102,2022,Animation Adventure Comedy,333176600
Star Wars: Episode V - The Empire Strikes Back,8.7,124,1980,Action Adventure Fantasy,290475067
Centaur,5.3,89,2022,Action Adventure Crime,290475067
The Hunger Games,7.2,142,2012,Action Adventure Sci-Fi,408010692
The Blue Lagoon,5.8,104,1980,Adventure Drama Romance,58853106
Spider-Man: Homecoming,7.4,133,2017,Action Adventure Sci-Fi,334201140
Black Widow,6.7,134,2021,Action Adventure Sci-Fi,183651655
Aquaman,6.8,143,2018,Action Adventure Fantasy,335061807
Enola Holmes,6.6,123,2020,Action Adventure Crime,335061807
The Amazing Spider-Man,6.9,136,2012,Action Adventure Sci-Fi,262030663
Sonic the Hedgehog,6.5,99,2020,Action Adventure Comedy,148974665
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,129,2017,Action Adventure Fantasy,172558876
Mission: Impossible - Ghost Protocol,7.4,132,2011,Action Adventure Thriller,209397903
The Fifth Element,7.6,126,1997,Action Adventure Sci-Fi,63540020
Deadpool,8.0,108,2016,Action Adventure Comedy,363070709
Into the Wild,8.1,148,2007,Adventure Biography Drama,18354356
Charlie and the Chocolate Factory,6.7,115,2005,Adventure Comedy Family,206459076
Aliens,8.4,137,1986,Action Adventure Sci-Fi,85160248
The Lion King,8.5,88,1994,Animation Adventure Drama,422783777
Star Wars: Episode VII - The Force Awakens,7.8,138,2015,Action Adventure Sci-Fi,936662225
Thor,7.0,115,2011,Action Adventure Fantasy,181030624
Gladiator,8.5,155,2000,Action Adventure Drama,187705427
Guardians of the Galaxy Vol. 2,7.6,136,2017,Action Adventure Comedy,389813101
Kingsman: The Secret Service,7.7,129,2014,Action Adventure Comedy,128261724
Mission: Impossible II,6.1,123,2000,Action Adventure Thriller,215409889
Star Wars: Episode VIII - The Last Jedi,6.9,152,2017,Action Adventure Fantasy,620181382
The Avengers,8.0,143,2012,Action Adventure Sci-Fi,623279547
Divergent,6.6,139,2014,Action Adventure Mystery,150947895
Zack Snyder's Justice League,8.0,242,2021,Action Adventure Fantasy,150947895
Casino Royale,8.0,144,2006,Action Adventure Thriller,167445960
Spider-Man: Into the Spider-Verse,8.4,117,2018,Animation Action Adventure,190241310
The Mortal Instruments: City of Bones,5.8,130,2013,Action Adventure Fantasy,31165421
The Princess Bride,8.0,98,1987,Adventure Family Fantasy,30857814
Toy Story 3,8.3,103,2010,Animation Adventure Comedy,415004880
Fantastic Four,4.3,100,2015,Action Adventure Sci-Fi,56117548
Stand by Me,8.1,89,1986,Adventure Drama,52287414
Independence Day,7.0,145,1996,Action Adventure Sci-Fi,306169255
Cars,7.2,117,2006,Animation Adventure Comedy,244082982
Willow,7.2,126,1988,Action Adventure Drama,57269863
The Mummy,7.1,124,1999,Action Adventure Fantasy,155247825
Predator,7.8,107,1987,Action Adventure Horror,59735548
Indiana Jones and the Raiders of the Lost Ark,8.4,115,1981,Action Adventure,248159971
The Lord of the Rings: The Return of the King,9.0,201,2003,Action Adventure Drama,377845905
Iron Man,7.9,126,2008,Action Adventure Sci-Fi,318412101
Live and Let Die,6.7,121,1973,Action Adventure Thriller,35377836
Ready Player One,7.4,140,2018,Action Adventure Sci-Fi,137690172
Solo: A Star Wars Story,6.9,135,2018,Action Adventure Sci-Fi,213767512
The Bounty,7.0,132,1984,Adventure Drama History,8600000
Edge of Tomorrow,7.9,113,2014,Action Adventure Sci-Fi,100206256
Deadpool 2,7.7,119,2018,Action Adventure Comedy,324591735
Mission: Impossible - Rogue Nation,7.4,131,2015,Action Adventure Thriller,195042377
Captain America: The First Avenger,6.9,124,2011,Action Adventure Sci-Fi,176654505
E.T. the Extra-Terrestrial,7.9,115,1982,Adventure Family Sci-Fi,435110554
Dune,6.3,137,1984,Action Adventure Sci-Fi,30925690
Pirates of the Caribbean: Dead Man's Chest,7.3,151,2006,Action Adventure Fantasy,423315812
Starship Troopers,7.3,129,1997,Action Adventure Sci-Fi,54814377
The Wizard of Oz,8.1,102,1939,Adventure Family Fantasy,2076020
Oz the Great and Powerful,6.3,130,2013,Adventure Family Fantasy,234911825
Harry Potter and the Goblet of Fire,7.7,157,2005,Adventure Family Fantasy,290013036
Scooby-Doo,5.2,86,2002,Adventure Comedy Family,153288182
Cruella,7.3,134,2021,Adventure Comedy Crime,153288182
Black Panther,7.3,134,2018,Action Adventure Sci-Fi,700059566
The Green Knight,6.6,130,2021,Adventure Drama Fantasy,700059566
Birds of Prey,6.0,109,2020,Action Adventure Comedy,84158461
The Revenant,8.0,156,2015,Action Adventure Drama,183637894
Mission: Impossible III,6.9,126,2006,Action Adventure Thriller,134029801
Star Trek,7.9,127,2009,Action Adventure Sci-Fi,257730019
Pirates of the Caribbean: On Stranger Tides,6.6,136,2011,Action Adventure Fantasy,241063875
Captain America: Civil War,7.8,147,2016,Action Adventure Sci-Fi,408084349
