track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
Seven (feat. Latto) (Explicit Ver.),2023,7,147,Major,80,Latto Jung Kook
LALA,2023,3,48,Major,71,Myke Towers
vampire,2023,6,113,Major,51,Olivia Rodrigo
Cruel Summer,2019,8,100,Major,55,Taylor Swift
WHERE SHE GOES,2023,5,50,Minor,65,Bad Bunny
Sprinter,2023,6,91,Major,92,Dave Central Cee
Ella Baila Sola,2023,3,50,Minor,67,Eslabon Armado Peso Pluma
Columbia,2023,7,43,Major,67,Quevedo
fukumean,2023,5,83,Minor,85,Gunna
La Bebe - Remix,2023,3,44,Minor,81,Peso Pluma Yng Lvcas
un x100to,2023,4,40,Minor,57,Bad Bunny Grupo Frontera
Super Shy,2023,7,55,Minor,78,NewJeans
Flowers,2023,1,115,Major,71,Miley Cyrus
Daylight,2023,4,98,Minor,51,David Kushner
As It Was,2022,3,130,Minor,52,Harry Styles
Kill Bill,2022,12,77,Major,64,SZA
Cupid - Twin Ver.,2023,2,77,Minor,78,Fifty Fifty
"What Was I Made For? [From The Motion Picture ""Barbie""]",2023,7,104,Major,44,Billie Eilish
Classy 101,2023,3,40,Major,86,Feid Young Miko
Like Crazy,2023,3,68,Major,63,Jimin
LADY GAGA,2023,6,26,Minor,65,Gabito Ballesteros Junior H Peso Pluma
I Wanna Be Yours,2013,1,110,Minor,48,Arctic Monkeys
"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023,5,40,Minor,85,Bizarrap Peso Pluma
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023,6,87,Major,85,The Weeknd Madonna Playboi Carti
SABOR FRESA,2023,6,26,Minor,79,Fuerza Regida
Calm Down (with Selena Gomez),2022,3,77,Major,80,R��ma Selena G
MOJABI GHOST,2023,6,40,Minor,81,Tainy Bad Bunny
Last Night,2023,1,19,Major,52,Morgan Wallen
Dance The Night (From Barbie The Album),2023,5,101,Minor,67,Dua Lipa
Rush,2023,7,78,Minor,74,Troye Sivan
TULUM,2023,6,34,Major,56,Peso Pluma Grupo Frontera
Creepin',2022,12,88,Minor,71,The Weeknd 21 Savage Metro Boomin
Anti-Hero,2022,10,56,Major,64,Taylor Swift
TQG,2023,2,49,Minor,72,Karol G Shakira
Los del Espacio,2023,6,31,Major,81,Big One Duki Lit Killah Maria Becerra FMK Rusherking Emilia Tiago pzk
Blank Space,2014,1,53,Major,75,Taylor Swift
Style,2014,1,42,Major,60,Taylor Swift
TQM,2023,5,28,Minor,79,Fuerza Regida
El Azul,2023,2,25,Minor,56,Junior H Peso Pluma
Sunflower - Spider-Man: Into the Spider-Verse,2018,10,78,Major,76,Post Malone Swae Lee
I'm Good (Blue),2022,8,80,Minor,56,Bebe Rexha David Guetta
See You Again,2017,7,64,Major,56,Tyler The Creator Kali Uchis
Barbie World (with Aqua) [From Barbie The Album],2023,6,80,Major,77,Nicki Minaj Aqua Ice Spice
Angels Like You,2020,11,19,Major,67,Miley Cyrus
I Ain't Worried,2022,5,76,Major,71,OneRepublic
Die For You,2016,11,59,Minor,59,The Weeknd
Starboy,2016,9,79,Major,68,The Weeknd Daft Punk
Die For You - Remix,2023,2,47,Minor,53,Ariana Grande The Weeknd
El Cielo,2023,6,38,Minor,72,Feid Myke Towers Sky Rompiendo
Baby Don't Hurt Me,2023,4,66,Major,60,David Guetta Anne-Marie Coi Leray
AMARGURA,2023,2,39,Minor,92,Karol G
(It Goes Like) Nanana - Edit,2023,6,59,Minor,67,Peggy Gou
Another Love,2012,10,83,Minor,45,Tom Odell
Blinding Lights,2019,11,69,Major,50,The Weeknd
Moonlight,2023,2,42,Minor,64,Kali Uchis
La Bachata,2022,5,45,Minor,84,Manuel Turizo
S91,2023,7,41,Minor,86,Karol G
cardigan,2020,7,29,Minor,61,Taylor Swift
Boy's a liar Pt. 2,2023,2,41,Major,70,PinkPantheress Ice Spice
Left and Right (Feat. Jung Kook of BTS),2022,6,39,Major,88,Charlie Puth BTS Jung Kook
Hey Mor,2022,10,38,Minor,90,Ozuna Feid
Yellow,1999,1,43,Major,43,Chris Molitor
Karma,2022,10,23,Major,64,Taylor Swift
People,2022,12,56,Minor,59,Libianca
Overdrive,2023,7,36,Major,56,Post Malone
Enchanted (Taylor's Version),2023,7,24,Major,51,Taylor Swift
BABY HELLO,2023,6,35,Minor,77,Rauw Alejandro Bizarrap
Heat Waves,2020,6,63,Major,76,Glass Animals
golden hour,2022,7,36,Minor,51,JVKE
Sweater Weather,2012,5,61,Major,61,The Neighbourhood
"Quevedo: Bzrp Music Sessions, Vol. 52",2022,7,45,Major,62,Bizarrap Quevedo
Viva La Vida,2008,1,62,Minor,49,Coldplay
Here With Me,2022,7,23,Major,58,d4vd
Unholy (feat. Kim Petras),2022,9,42,Major,71,Sam Smith Kim Petras
Yandel 150,2022,12,38,Minor,78,Yandel Feid
Riptide,1975,1,55,Major,48,Vance Joy
Until I Found You (with Em Beihold) - Em Beihold Version,2022,4,30,Major,34,Em Beihold Stephen Sanchez
Back To December (Taylor's Version),2023,7,17,Major,50,Taylor Swift
STAY (with Justin Bieber),2021,7,36,Major,59,Justin Bieber The Kid Laroi
El Merengue,2023,3,44,Minor,78,Marshmello Manuel Turizo
Someone You Loved,2018,11,53,Major,50,Lewis Capaldi
Me Porto Bonito,2022,5,43,Minor,91,Chencho Corleone Bad Bunny
Makeba,2015,6,53,Major,82,Jain
MONTAGEM - FR PUNK,2012,6,50,Major,63,Ayparia unxbected
Fast Car,2023,3,12,Major,71,Luke Combs
What It Is (Solo Version),2023,3,25,Minor,74,Doechii
Coco Chanel,2023,3,38,Major,68,Bad Bunny Eladio Carrion
Still With You,2020,6,39,Minor,53,Jung Kook
All My Life (feat. J. Cole),2023,5,23,Major,83,J. Cole Lil Durk
Say Yes To Heaven,2023,3,46,Minor,49,Lana Del Rey
Snooze,2022,12,25,Major,56,SZA
Summertime Sadness,2011,1,52,Minor,56,Lana Del Rey
Take Two,2023,6,47,Major,62,BTS
Lover,2012,1,23,Major,43,Taylor Swift
Too Many Nights (feat. Don Toliver & with Future),2022,12,58,Minor,68,Future Metro Boomin Don Toliver
Chemical,2023,4,39,Major,50,Post Malone
Mockingbird,2004,1,61,Minor,62,Eminem
New Jeans,2023,7,35,Minor,81,NewJeans
Primera Cita,2022,4,27,Major,54,Carin Leon
Cold Heart - PNAU Remix,2017,11,52,Major,80,Dua Lipa Elton John Pnau
Dandelions,2017,4,21,Major,61,Ruth B.
Bones,2021,3,44,Minor,77,Imagine Dragons
Set Fire to the Rain,2011,1,43,Minor,61,Adele
